batch_size,epochs,n_layers,dropout_rate,l1_reg,l2_reg,n_neurons_l0,n_neurons_l1,n_neurons_l2,n_neurons_l3,n_neurons_l4,learning_rate,trial_number,MAE_val,MAE_train,Best_MAE_val,Best_MAE_train
106,200,5,0.1,0.4,0.4,152,315.0,75.0,152.0,190.0,0.0006672367170464204,1,49.28492428056891,37.75421853039863,49.28492428056891,37.75421853039863
205,200,1,0.4,0.2,0.5,135,,,,,0.004467752817973905,2,129.04896517265394,124.01490298601955,49.28492428056891,37.75421853039863
91,200,3,0.3,0.2,0.3,280,75.0,412.0,,,1.9870215385428627e-05,3,211.9201889220281,205.28779379532205,49.28492428056891,37.75421853039863
253,200,4,0.3,0.4,0.4,455,244.0,64.0,367.0,,0.011044350847124691,4,46.98825546136721,36.15987486264772,46.98825546136721,36.15987486264772
151,200,4,0.2,0.4,0.1,477,415.0,326.0,447.0,,0.016394127471631596,5,48.0822754983113,38.396261389708485,46.98825546136721,36.15987486264772
60,200,5,0.3,0.3,0.4,268,361.0,189.0,498.0,493.0,0.00010165510266418732,6,125.14871192099471,114.02763696680489,46.98825546136721,36.15987486264772
135,200,2,0.3,0.5,0.2,325,326.0,,,,0.0013902686711035,7,85.49687309301352,68.71887607933783,46.98825546136721,36.15987486264772
37,200,5,0.5,0.5,0.1,450,135.0,339.0,419.0,286.0,0.001314021022620738,8,58.816281341387096,43.63861398031576,46.98825546136721,36.15987486264772
74,200,1,0.2,0.1,0.1,6,,,,,4.3977668944839594e-05,9,221.48331361956542,215.30972321426384,46.98825546136721,36.15987486264772
148,200,4,0.3,0.2,0.3,325,408.0,259.0,297.0,,0.000933406401998636,10,50.42933662990941,37.34909292292411,46.98825546136721,36.15987486264772
252,200,3,0.1,0.05,0.05,406,187.0,9.0,,,0.06981221385747148,11,46.59273308919878,38.55495455347515,46.59273308919878,36.15987486264772
255,200,3,0.1,0.05,0.05,409,194.0,9.0,,,0.09897936353312098,12,49.47474506747978,36.031715131888035,46.59273308919878,36.031715131888035
245,200,3,0.1,0.05,0.05,389,223.0,124.0,,,0.09063834236646588,13,59.21831808385315,48.82362214320798,46.59273308919878,36.031715131888035
187,200,4,0.5,0.05,0.05,383,498.0,28.0,58.0,,0.017557192011562556,14,56.40942962773323,42.580009150894725,46.59273308919878,36.031715131888035
218,200,2,0.4,0.4,0.4,493,147.0,,,,0.01913766784885449,15,77.82123087884247,56.83603991953181,46.59273308919878,36.031715131888035
226,200,4,0.1,0.3,0.2,504,256.0,149.0,295.0,,0.006240526732959979,16,46.02992295716205,32.93764041362589,46.02992295716205,32.93764041362589
187,200,2,0.1,0.3,0.2,510,17.0,,,,0.004635990712299015,17,78.04195549936462,63.13764124719129,46.02992295716205,32.93764041362589
223,200,3,0.1,0.3,0.2,196,282.0,172.0,,,0.04371869737190396,18,49.77208944685048,38.53650837731136,46.02992295716205,32.93764041362589
191,200,4,0.1,0.1,0.5,346,161.0,139.0,207.0,,0.0003173753889776946,19,137.25005696693034,125.24781262686639,46.02992295716205,32.93764041362589
229,200,2,0.1,0.05,0.05,417,90.0,,,,0.0031253909070430223,20,81.7129955918922,60.0929365479864,46.02992295716205,32.93764041362589
166,200,4,0.1,0.3,0.2,219,253.0,503.0,287.0,,0.029927990921913866,21,66.03870542137889,51.38239188378868,46.02992295716205,32.93764041362589
253,200,4,0.3,0.4,0.4,439,236.0,79.0,340.0,,0.010692373635296232,22,41.27611783828636,29.508474110669088,41.27611783828636,29.508474110669088
231,200,3,0.5,0.3,0.2,511,189.0,91.0,,,0.006510760323590767,23,69.81241685310133,53.48859327016333,41.27611783828636,29.508474110669088
206,200,5,0.4,0.05,0.05,438,269.0,228.0,332.0,16.0,0.042503975769897076,24,64.86672106646016,45.244625382874695,41.27611783828636,29.508474110669088
238,200,3,0.2,0.4,0.4,385,96.0,19.0,,,0.008857120153204324,25,51.943101615288825,36.258501300749685,41.27611783828636,29.508474110669088
210,200,4,0.3,0.5,0.5,358,206.0,116.0,225.0,,0.0024161998179160933,26,52.697021037473284,38.5140563785053,41.27611783828636,29.508474110669088
254,200,4,0.1,0.1,0.3,466,303.0,57.0,379.0,,0.05071984747360427,27,75.1527875757446,67.35499933312175,41.27611783828636,29.508474110669088
175,200,5,0.1,0.05,0.05,425,354.0,169.0,138.0,506.0,0.00039901676649416613,28,49.450676944369896,32.799326980204306,41.27611783828636,29.508474110669088
234,200,4,0.3,0.3,0.2,302,165.0,235.0,9.0,,0.012166147555949068,29,47.14852490047321,37.775012816449845,41.27611783828636,29.508474110669088
120,200,5,0.1,0.4,0.4,91,228.0,98.0,257.0,308.0,0.024333479112227784,30,49.412239563321116,39.53016839484536,41.27611783828636,29.508474110669088
22,200,3,0.2,0.4,0.4,473,117.0,151.0,,,0.002807661935362427,31,45.296867942612295,33.35807345923441,41.27611783828636,29.508474110669088
21,200,3,0.2,0.4,0.4,482,117.0,44.0,,,0.003660780159387029,32,44.68058585848636,35.972014315464435,41.27611783828636,29.508474110669088
24,200,3,0.2,0.4,0.4,469,29.0,154.0,,,0.002294172640396279,33,58.04814984159768,45.36564307755182,41.27611783828636,29.508474110669088
51,200,3,0.2,0.4,0.4,487,120.0,213.0,,,0.005548934086567728,34,37.61995497553006,30.136312304587296,37.61995497553006,29.508474110669088
17,200,2,0.2,0.4,0.4,453,115.0,,,,0.0005008249044529863,35,70.63133625840037,58.44726244497906,37.61995497553006,29.508474110669088
46,200,3,0.2,0.4,0.4,486,59.0,226.0,,,0.0026955788000754205,36,53.09346271631131,38.9422276264562,37.61995497553006,29.508474110669088
89,200,2,0.2,0.4,0.4,447,70.0,,,,0.004282789852360358,37,56.45727012783055,41.15194414118593,37.61995497553006,29.508474110669088
52,200,3,0.2,0.4,0.4,361,120.0,283.0,,,0.009192379198367214,38,52.359193000793155,38.757455499535496,37.61995497553006,29.508474110669088
32,200,3,0.2,0.4,0.4,481,49.0,61.0,,,0.00015751239887407706,39,135.23407631440173,126.86709587492889,37.61995497553006,29.508474110669088
68,200,1,0.2,0.2,0.4,428,,,,,1.0134446798603569e-05,40,213.64288435949237,207.2080497664028,37.61995497553006,29.508474110669088
89,200,3,0.2,0.4,0.4,244,123.0,202.0,,,0.0016977763776922917,41,44.30063146999565,31.862573748410217,37.61995497553006,29.508474110669088
90,200,3,0.2,0.4,0.4,225,109.0,194.0,,,0.0014854376284343628,42,55.32816158230544,44.36826421823187,37.61995497553006,29.508474110669088
41,200,3,0.2,0.4,0.4,166,127.0,202.0,,,0.0006786239073683838,43,55.00947694800355,44.91292236965236,37.61995497553006,29.508474110669088
110,200,2,0.2,0.4,0.4,258,170.0,,,,0.0017131753839624729,44,69.51736407422,56.21291593366372,37.61995497553006,29.508474110669088
76,200,3,0.3,0.4,0.1,104,45.0,101.0,,,0.0009065955401024242,45,58.27253338561965,44.653173483225906,37.61995497553006,29.508474110669088
56,200,3,0.2,0.4,0.4,248,71.0,49.0,,,0.0044266011272975124,46,47.027547501063225,32.39754426233243,37.61995497553006,29.508474110669088
27,200,4,0.4,0.2,0.3,320,143.0,286.0,510.0,,0.007701462493982471,47,52.63539606283995,40.89883076771728,37.61995497553006,29.508474110669088
